scientificName
"Axinella polypoides Schmidt, 1862"
"Aplysilla polyraphis de Laubenfels, 1930"
Jereica polystoma 
"Hamacantha popana (de Laubenfels, 1935)"
"Hypsispongia popana de Laubenfels, 1935"
Pharetrospongia porcana 
"Spongosorites porites de Laubenfels, 1949"
Astylospongia praemorsa Roemer
Astylospongia praemorsa Hall
Astylospongia praemorsa 
Astylospongia praemorsa 
Pachastrella primaeva 
"Callyspongia procumbens (Carter, 1882)"
Craticularia procumbens Goldfuss
"Patuloscula procumbens Carter, 1882"
"Siphonochalina procumbens (Carter, 1882)"
"Clathria prolifera (Ellis & Solander, 1786)"
"Clathria prolifera (Ellis & Solander, 1786)"
"Microciona prolifera (Ellis & Solander, 1786)"
Amblysiphonella prosseri Clarke
"Hyrtios proteus Duchassaing & Michelotti, 1864"
"Hyrtios proteus Duchassaing & Michelotti, 1864"
"Neopetrosia proxima (Duchassaing & Michelotti, 1864)"
"Thalysias proxima Duchassaing & Michelotti, 1864"
"Thalysias proxima Duchassaing & Michelotti, 1864"
"Clathria pseudonapya (de Laubenfels, 1930)"
"Clathriopsamma pseudonapya de Laubenfels, 1930"
"Mycale psila (de Laubenfels, 1930)"
"Paresperella psila de Laubenfels, 1930"
"Aciculites pulchra Dendy, 1924"
"Monanchora pulchra (Lambe, 1895)"
"Dactylocalyx pumiceus Stutchbury, 1841"
Halichondria punctata Bergquist
Jerea punctata 
Jereica punctata Goldfuss
Siphonia punctata 
"Druinella pupurea (Carter, 1880)"
"Atergia purpurea de Laubenfels, 1954"
"Hircinia purpurea Hyatt, 1877"
"Psammaplysilla purpurea (Carter, 1880)"
"Pseudoceratina purpurea (Carter, 1880)"
"Spheciospongia purpurea (Lamarck, 1815)"
"Pseudosuberites purpureus (de Laubenfels, 1954)"
Astylospongia pursa 
Spongia pursa 
Raphidonema pustulata 
Rhizaxinella pyrifera (Delle Chiaje)
Jerea pyriformis 
Siphonia pyriformis 
Okadaia quarta de Laubenfels
"Esperiopsis quatsinoensis Lambe, 1893"
"Isodictya quatsinoensis (Lambe, 1893)"
Corynella quenstedti 
Polyblastidium racemosum (Schmidt)
"Carteriospongia radiata Hyatt, 1877"
"Phyllospongia radiata (Hyatt, 1877)"
Retispongia radiata 
Siphonia radiata 
"Ventriculites radiatus Mantell, 1822"
Hippalimus radiciformis 
Scytalia radiciformis 
"Callyspongia ramosa (Gray, 1843)"
Doryderma ramosa Mantell
"Druinella ramosa Thiele, 1899"
"Fibularia ramosa Carter, 1882"
"Gelliodes ramosa (Carter, 1882)"
Heliospongia ramosa 
"Hircinia ramosa de Laubenfels, 1934"
"Ircinia ramosa (Keller, 1889)"
Jereina ramosa Finks
Stachyspongia ramosa 
"Anchinoe ramosus Hechtel, 1983"
"Phorbas ramosus (Hechtel, 1983)"
Spongites ramosus 
"Strongylophora rampa de Laubenfels, 1934"
"Xestospongia rampa (de Laubenfels, 1934)"
"Acanthochaetetes ramulosus (Michelin, 1846)"
"Sycon raphanus Schmidt, 1862"
"Coelosphaera raphidifera (Topsent, 1889)"
"Coelosphaera raphidifera Hechtel, 1969"
"Clathria rarispinosa (Hechtel, 1965)"
"Microciona rarispinosa Hechtel, 1965"
"Hymedesanisochela rayae Bakus, 1966"
"Iophon rayae (Bakus, 1966)"
"Anacanthaea rea de Laubenfels, 1934"
"Myrmekioderma rea (de Laubenfels, 1934)"
Spongelia rectilinea 
"Spongelia rectilinea Hyatt, 1877"
Spinosella regularis Verrill
"Heteromeyenia repens (Potts, 1880)"
Parites repens 
"Thalysias repens Carter, 1882"
Axinella reticulata Ridley and Dendy
Cyathodictya reticulata Walcott
"Dragmacidon reticulatum (Ridley & Dendy, 1886)"
Tremadictyon reticulatum 
Cyathophycus reticulatus Walcott
Tremadictyon retinaculum 
"Biemna rhabderemioides Bergquist, 1961"
"Dactylella rhaphoxea de Laubenfels, 1934"
"Lipastrotethya rhaphoxea (de Laubenfels, 1934)"
"Aplysinella rhax (de Laubenfels, 1954)"
"Dysidea rhax de Laubenfels, 1954"
Ischadites rhomboidalis Twenhofel
Ischadites rhomboideus Twenhofel
"Dendoricella rhopalum Lundbeck, 1905"
"Mycale richardsoni Bakus, 1966"
"Callyspongia ridleyi Burton, 1934"
Hyalotragos rimuloseum 
Cnemidiastrum rimulosum 
"Cliona robusta Old, 1941"
"Ephydatia robusta (Potts, 1888)"
"Meyenia robusta Potts, 1888"
Oceanapia robusta (Bowerbank)
"Phakellia robusta Bowerbank, 1866"
"Pione robusta (Old, 1941}"
"Polymastia robusta Bowerbank, 1866"
Brachiospongia roemerana Marsh
Doryderma roemeri Hinde
Eospongia roemeri (Billings)
Lyrodictya romingeri 
"Eudea rosa Laube, 1864"
"Axinella rosacea Verrill, 1907"
"Darwinella rosacea Hechtel, 1965"
"Pseudaxinella rosacea (Verrill, 1907)"
Biemma rosea 
"Biemna rosea (Fristedt, 1887)"
"Desmacella rosea Fristedt, 1887"
"Euryspongia rosea de Laubenfels, 1936"
Myrmecidium rotula 
Myrmecium rotula 
Spongites rotula 
Ochridaspongia rotunda Arndt
"Haliclona rubens (Pallas, 1766)"
"Pachychalina rubens (Pallas, 1766)"
"Axinella rudis Verrill, 1907"
Dystactospongia rudis 
"Homaxinella rudis (Verrill, 1907)"
Pandaros rudis Verrill
Saccospongia rudis 
Tremadictyon rugatum von Quenstedt
"Cypellia rugosa (Goldfuss, 1826)"
"Lepidospongia rugosa Schluter, 1870"
Scyphia rugosa 
"Thalysias rugosa Duchassaing & Michelotti, 1864"
"Thalysias rugosa Duchassaing & Michelotti, 1864"
"Heteromeyenia ryderi Potts, 1882"
"Racekiela ryderii (Potts, 1882)"
"Papyrula saccharis de Laubenfels, 1930"
"Penares saccharis (de Laubenfels, 1930)"
"Amorphinopsis sacciformis (Thiele, 1900)"
"Ciocalapata sacciformis (Thiele, 1900)"
"Ciocalypta sacciformis Thiele, 1900"
"Oceanapia sagittaria (Sollas, 1902)"
"Orina sagittaria (Sollas, 1902)"
Leucandra sagmiana Hozawa
"Neopetrosia sapra (de Laubenfels, 1954)"
"Xestospongia sapra de Laubenfels, 1954"
"Asteropus sarasinorum (Thiele, 1899)"
"Melophlus sarasinorum Thiele, 1899"
Spongia saxonicus 
"Cacospongia scalaris Schmidt, 1862"
"Scalarispongia scalaris (Schmidt, 1862)"
"Iophon scandens (Bowerbank, 1866)"
"Agelas sceptrum (Lamarck, 1815)"
Dictyospongia sceptrum Hall
"Agelas schmidti Wilson, 1902"
Cliona schmidti (Ridley)
"Agelas schmidtii Wilson, 1902"
"Aulospongus schoenus de Laubenfels, 1936"
"Microciona schoenus (de Laubenfels, 1936)"
Pachynion scriptum 
"Callyspongia scrobiculata (Lamarck, 1814)"
"Tuba scrobiculata (Lamarck, 1814)"
"Luffaria sebae Duchassaing & Michelotti, 1864"
"Luffaria sebae Duchassaing & Michelotti, 1864"
"Stellispongia semicincta von Quenstedt, 1878"
"Tentorium semisuberites (Schmidt, 1870)"
"Ophlitaspongia seriata (Grant, 1826)"
Verruculina seriatopora Roemer
"Asconema setabulense Saville-Kent, 1870"
"Asconema setabulense Schulze, 1899"
"Asconema setubalense Saville-Kent, 1870"
"Asconema setubalense Schulze, 1899"
"Tethya seychellensis (Wright, 1881)"
"Hyalonema sieboldii Gray, 1835"
"Lissodendoryx sigmata (de Laubenfels, 1949)"
"Xytopsene sigmatum de Laubenfels, 1949"
Cyrtaulon sigsbeei Schmidt
"Aaptos simplex (Lambe, 1893)"
"Plakortis simplex Schulze, 1880"
"Suberites simplex Lambe, 1893"
"Haliclona simulans (Johnston, 1842)"
"Hymeniacidon sinapium de Laubenfels, 1930"
"Coelocarteria singaporensis (Carter, 1883)"
"Siphonochalina siphona de Laubenfels, 1949"
"Siphonodictyon siphonum (de Laubenfels, 1949)"
"Eumastia sitiens Schmidt, 1870"
"Halichondria sitiens (Schmidt, 1870)"
"Radiella sol Schmidt, 1870"
Petrosia solida Verrill
"Wewokella solida Girty, 1911"
"Stelletta solidissima (Wilson, 1902)"
"Haliclona solowetzkaja (Hentschel, 1929)"
Spinosella sororia 
"Tuba sororia Duchassaing & Michelotti, 1864"
"Tuba sororia Duchassaing & Michelotti, 1864"
Acanthacarnus souriei Levi
"Acarnus souriei (Levi, 1952)"
Aaptos sp. 
Acanthacarnus sp. 
Acanthancora sp. 
Acanthella sp. 
Acarnus sp. 
"Actinocoelia sp. (Finks, 1960)"
Actinodictya sp. 
Adocia sp. 
Agelas sp. 
Allantophora sp. 
Amblysiphonella sp. 
Anchinoe sp. 
Anthaspidella sp. 
Antho sp. 
Anthosigmella sp. 
Aphrocallistes sp. 
Aplysilla sp. 
Aplysina sp. 
Artemisina sp. 
Asbestopluma sp. 
Asconema sp. 
Asteropus sp. 
Astraeospongia sp. 
Astraeospongium sp. 
Astrosclera sp. 
Astylomanon sp. 
Astylospongia sp. 
Auletta sp. 
Axinella sp. 
Axocielita sp. 
Basilia sp. 
Belemnospongia sp. 
Biemma sp. 
Biemna sp. 
Brachiospongia sp. 
Bubaris sp. 
Caccospongia sp. 
Calathium sp. 
Calathospongia sp. 
Callyspongia sp. 
Camerospongia sp. 
Carteriospongia sp. 
Caulophacus sp. 
Chalina sp. 
Chalinopsilla sp. 
Chancelloria sp. 
Choia sp. 
Chondrilla sp. 
Chondrocladia sp. 
Chondrosia sp. 
Cinachyra sp. 
Ciocalypta sp. 
Cladorhiza sp. 
Clathria sp. 
Clathria sp. 
Clathria sp. 
Clathria sp. 
Cleodictya sp. 
Cliona sp. 
Cnemidium sp. 
Coelocladia sp. 
Coeloptychium sp. 
Coelosphaera sp. 
Colpospongia sp. 
Corticium sp. 
Corynella sp. Zittel
Craticularia sp. 
Crella sp. 
Cribrocoelia sp. 
Cribrospongia sp. 
Cystothalamia sp. 
Cytospongia sp. 
Dactylia sp. 
Damiriella sp. 
Dasychalina sp. 
Dendrilla sp. 
Dercitus sp. 
Diaphorstoma sp. 
Dictyophyton sp. 
Dictyospongia sp. 
Didiscus sp. 
Diplastrella sp. 
Discodermia sp. 
Djemelia sp. 
Dysidea sp. 
Echinochalina sp. 
Echinostylinos sp. 
Ectyodoryx sp. 
Elasmostoma sp. 
Endectyon sp. 
Epallax sp. 
Epicles sp. 
Erylus sp. 
Esperiopsis sp. 
Eumastia sp. 
Euplectella sp. 
Eurypon sp. 
Euryspongia sp. 
Farrea sp. 
Gelliodes sp. 
Gellius sp. 
Geodia sp. 
Girtycoelia sp. 
Girtyocoelia sp. 
Gomphostegia sp. 
Guitarra sp. 
Halichondria sp. 
Halichondria sp. 
Halichondrina sp. 
Haliclona sp. 
Haliclona sp. 
Haliclona sp. 
Haliclona sp. 
Halisarca sp. 
Hamptonia sp. Walcott
Heliospongia sp. 
Hemectyon sp. 
Hemiasterella sp. 
Heterocoelia sp. 
Heterospongia sp. 
Higginsia sp. 
Hindia sp. 
Hippospongia sp. 
Homaxinella sp. 
Hyalonema sp. 
Hyattella sp. 
Hydnoceras sp. 
Hymedesmia sp. 
Hymeniacidon sp. 
Hyrtios sp. 
Ianthella sp. 
Imperatoria sp. 
Iophon sp. 
Iotrochota sp. 
Ircinia sp. 
Ischadites sp. 
Isodictya sp. 
Isops sp. 
Jaspis sp. 
Jerea sp. 
Kazania sp. 
Laxosuberites sp. 
Leptolabis sp. 
Leptomitus sp. 
Leucandra sp. 
Leuconia sp. 
Leucosolenia sp. 
Lissodendoryx sp. 
Lissodendoryx sp. 
Lissodendoryx sp. 
Maeandrostia sp. 
Microciona sp. 
Microspongia sp. 
Mycale sp. 
Mycale sp. 
Myriastra sp. 
Myxilla sp. 
Napaeana sp. 
Neofibularia sp. 
Nidulites sp. 
Oceanapia sp. 
Oligoceras sp. 
Ophlitaspongia sp. 
Oscarella sp. 
Pachastrella sp. 
Pachychalina sp. 
Palaeomanon sp. 
Palaeospongia sp. 
Paratetilla sp. 
Pasceolus sp. 
Petrosia sp. 
Petrosia sp. 
Phakellia sp. 
Phloeodictyon sp. 
Phorbas sp. 
Phragmodictya sp. 
Phyllospongia sp. 
Physospongia sp. 
Pirania sp. 
Placospongia sp. 
Plakortis sp. 
Pleurostoma sp. 
Plocamilla sp. 
Plocoscyphia sp. 
Polyfibrospongia sp. 
Polymastia sp. 
Porosphaera sp. 
Porospongia sp. 
Preeudea sp. 
Prismodictya sp. 
Prosuberites sp. 
Protospongia sp. 
Pseudaxinella sp. 
Pseudoceratina sp. 
Raspailia sp. 
Receptaculites sp. 
Reniera sp. 
Rhizochalina sp. 
Saccospongia sp. 
Scycettusa sp. 
Scypha sp. 
Scyphia sp. 
Sigmadocia sp. 
Siphonia sp. 
Siphonia sp. 
Siphonochalina sp. 
Sollasia sp. 
Sphaerodictya sp. 
Spheciospongia sp. 
Spherospongia sp. 
Spirastrella sp. 
Spongia sp. 
Spongionella sp. 
Spongosorites sp. 
Stauroderma sp. 
Stelletta sp. 
Stellettinopsis sp. 
Stellispongia sp. 
Strephochetus sp. 
Strobilospongia sp. 
Strongylacidon sp. 
Strongylophora sp. 
Stylinos sp. 
Suberites sp. 
Sycettusa sp. 
Sycon sp. 
Tedania sp. 
Tenaciella sp. 
Tethya sp. 
Tetilla sp. 
Thalysias sp. 
Thysanodictya sp. 
Timea sp. 
Topsentia sp. 
Toxadocia sp. 
Trachyopsilla sp. 
Ulosa sp. 
Velinea sp. 
Ventriculites sp. 
Verongia sp. 
Virgola sp. 
Weberella sp. 
Xestospongia sp. 
Xytopsoocha sp. 
Xytopsues sp. 
Yvesia sp. 
Chaunactis sp. 1 
Chaunactis sp. 2 
Haliclona sp. A 
Hymedesmia sp. A 
Reniera sp. A 
Haliclona sp. B 
Hymedesmia sp. B 
Reniera sp. B 
Reniera sp. C 
Palaeospongia sp. indet. 
Acloeodictya sp. nov. 
Astylospongia sp. nov. 
Axinella sp. nov. 
Axinella sp. nov. 
Calathospongia sp. nov. 
Cyathodictya sp. nov. 
Dictyophyton sp. nov. 
Palaeomanon sp. nov. 
Prismodictya sp. nov. 
Prosuberites sp. nov. 
Protoclathria sp. nov. 
Receptaculites sp. nov. 
Sphaerodictya sp. nov. 
Spirasigma sp. nov. 
Spongia sp. nov. 
Strephochetus sp. nov. 
Verongia sp. nov. 
"Agelas sparsus (Gray, 1867)"
Euplectella speciosa 
Prismodictya spectalitis 
"Caminus sphaeroconia Sollas, 1886"
"Hindia sphaeroidalis Duncan, 1879"
Microspongia sphaeroidalis 
"Thrombus sphaeroidocladus Hartman & Hubbard, 1999"
"Thrombus sphaeroidocladus Hartman & Hubbard, 1999"
"Yucatania sphaeroidocladus (Hartman & Hubbard, 1999)"
Stachyspongia spica 
Ircinia spicosula Hentschel
"Amphimedon spiculosa (Dendy, 1887)"
"Siphonochalina spiculosa Dendy, 1887"
Axociella spinosa 
"Clathria spinosa (Wilson, 1902)"
"Craniella spinosa Lambe, 1893"
"Crella spinosa (Hechtel, 1983)"
"Crelloxea spinosa Hechtel, 1983"
"Dysidea spinosa (Hyatt, 1877)"
Microciona spinosa Wilson
"Spongelia spinosa Hyatt, 1877"
"Thrinacophora spinosa Wilson, 1902"
"Dorypleres splendens de Laubenfels, 1954"
"Jaspis splendens (de Laubenfels, 1954)"
"Aaata spongigartina de Laubenfels, 1930"
"Anaata spongigartina (de Laubenfels, 1930)"
"Clathria spongigartina (de Laubenfels, 1930)"
"Vetulina stalactites Schmidt, 1879"
"Stellispongia stellaris von Klipstein, 1843"
"Halicometes stellata (Schmidt, 1870)"
"Caryomanon stellatimsulcatum (Roemer, 1848)"
Astylospongia stellatum 
Astylospongia stellatum Roemer
Cnemidiastrum stellatum 
"Jaspis stellifera (Carter, 1879)"
Timea stenosclera Hechtel
"Stylissa stipitata de Laubenfels, 1961"
"Ventriculites striatus Smith, 1848"
"Higginsia strigilata (Lamarck, 1814)"
"Ircinia strobilina (Lamarck, 1816)"
"Callyspongia strongylophora Hartman, 1955"
"Myrmekioderma styx de Laubenfels, 1953"
"Callyspongia subarmigera (Ridley, 1884)"
Calymmatina subcataria 
"Tuba subenervia Duchassaing & Michelotti, 1864"
"Tuba subenervia Duchassaing & Michelotti, 1864"
"Halichondria suberosa (Esper, 1794)"
Verrucospongia submarginata 
"Haliclona subtriangularis (Duchassaing & Michelotti, 1864)"
"Neopetrosia subtriangularis (Duchassaing, 1850)"
"Thalysias subtriangularis (Duchassaing, 1850)"
"Thalysias subtriangularis Duchassaing & Michelotti, 1864"
"Thalysias subtriangularis Duchassaing & Michelotti, 1864"
"Xestospongia subtriangularis (Duchassaing, 1850)"
Pleurostoma subundata Northrop
"Tedania suctoria Schmidt, 1870"
"Aplysilla sulfurea Schulze, 1878"
"Cliona sulphurea (Desor, 1851)"
"Epipolasis suluensis (Wilson, 1925)"
"Spongosorites suluensis Wilson, 1925"
"Spheciospongia symbiotica Hechtel, 1983"
"Ectyoplasia tabula (Lamarck, 1814)"
"Spongia tabula Lamarck, 1814"
"Spongia tampa de Laubenfels & Storr, 1958"
"Spongia tampa de Laubenfels & Storr, 1958"
Prismodictya telum 
"Endectyon tenax (Schmidt, 1870)"
"Phakellia tenax Schmidt, 1870"
"Callyspongia tenerrima Duchassaing & Michelotti, 1864"
"Callyspongia tenerrima Duchassaing & Michelotti, 1864"
"Poecillastra tenuilaminaris (Sollas, 1886)"
"Pararhaphoxya tenuiramosa Burton, 1934"
Chonella tenuis 
"Terpios tenuis Duchassaing & Michelotti, 1864"
"Terpios tenuis Duchassaing & Michelotti, 1864"
Scytalia terebrata Phillips
"Axinyssa terpnis (de Laubenfels, 1954)"
"Phycopsis terpnis de Laubenfels, 1954"
"Clathria terraenovae Dendy, 1924"
"Dictyociona terraenovae (Dendy, 1924)"
Receptaculites tessellatus 
"Petrosia testudinaria (Lamarck, 1815)"
"Reniera testudinaria (Lamarck, 1815)"
"Xestospongia testudinaria (Lamarck, 1815)"
Craniella tethyoides Schmidt
"Plakina tetralopha (Hechtel, 1965)"
"Corticium tetralophum Hechtel, 1965"
Protospongia tetranema 
Isoraphinia texta 
"Gellius textapatina de Laubenfels, 1926"
"Haliclona textapatina (de Laubenfels, 1930)"
"Sigmadocia textapatina (de Laubenfels, 1930)"
Craticularia texturatus 
"Forcepia thielei Lundbeck, 1905"
"Rhabdopectella tintinnus Schmidt, 1880"
"Tosastroma tokunagai Yabe & Sugiyama, 1935"
"Tosastroma tokunagai Yabe & Sugiyama, 1935"
"Lissodendoryx topsenti (de Laubenfels, 1930)"
"Tedania topsenti de Laubenfels, 1930"
"Forcepia topsentii Lundbeck, 1905"
"Tedania tora de Laubenfels, 1950"
Biemna tornotifera Burton
"Maeandrostia tortacloaca King, 1932"
Tuba tortolensis Duchassaing & Michelotti
Tuba tortolensis Duchassaing & Michelotti
"Merriamium tortugasensis de Laubenfels, 1936"
"Tedania toxicalis de Laubenfels, 1930"
Palaeospongia trentonensis 
"Amphimedon trindanea (Ristau, 1978)"
"Xestospongia trindanea Ristau, 1978"
"Biemna trirhaphis (Topsent, 1897)"
"Cliona truitti Old, 1941"
"Pione truitti (Old, 1941)"
"Oscarella tuberculata (Schmidt, 1868)"
"Suberites tuberculata (Schmidt, 1868)"
Jereica tuberculosa 
"Suberites tuberculosus Schmidt, 1870"
Pattersonia tuberosa (Beecher)
Strobilospongia tuberosa Beecher
Dictyophon tuberosum Conrad
Dictyophyton tuberosum (Conrad)
Hydnoceras tuberosum Conrad
Hydnoceras tuberosum 
Ophiraphidites tuberosus 
"Haliclona tubifera (George & Wilson, 1919)"
"Carterius tubisperma (Potts, 1881)"
"Heteromeyenia tubisperma (Potts, 1881)"
"Biemna tubulata (Dendy, 1905)"
Toxemna tubulata (Dendy)
"Aulospongus tubulatus (Bowerbank, 1873)"
Oculospongia tubulifera 
"Spongia tubulifera Lamarck, 1814"
Siphonia tubulosa Roemer
Siphonia tulipa 
"Geodia tumulosa Bowerbank, 1872"
Scyphia turbinata 
Scytalia turbinata 
Fasciospongia turgida 
Eospongia turneriensis 
"Adocia turquoisia de Laubenfels, 1954"
"Haliclona turquoisia (de Laubenfels, 1954)"
Penares tylostaster Dendy
"Myrmekioderma tylota de Laubenfels, 1954"
"Penares tylotaster Dendy, 1924"
Discophycus typicalis Walcott
Trichospongia typicalis 
"Corallistes typus Schmidt, 1870"
"Druinella tyroeis de Laubenfels, 1954"
"Haliclona tyroeis (de Laubenfels, 1954)"
"Toxadocia tyroeis de Laubenfels, 1954"
"Cliona undulatus (George & Wilson, 1919)"
Suberites undulatus 
Suberites undulatus 
"Hymeniacidon ungodon de Laubenfels, 1932"
"Monanchora unguiculata (Dendy, 1922)"
"Haliclona urceolus (Rathke & Vahl, 1806)"
Opetionella vadians 
"Anthosigmella vagabunda Ridley, 1884"
"Desmacella vagabunda Schmidt, 1870"
"Spheciospongia vagabunda (Ridley, 1884)"
"Spirastrella vagabunda Ridley, 1884"
Platychonia vagans 
Spongites vagans 
"Callyspongia vaginalis (Lamarck, 1814)"
"Callyspongia vaginalis (Duchassaing & Michelotti, 1864)"
"Callyspongia vaginalis (Lamarck, 1814)"
"Spinosella vaginalis (Lamarck, 1814)"
"Spinosella vaginalis (Duchassaing & Michelotti, 1864)"
Calycosoma valida 
"Calycosoma validum Schulze, 1899"
"Haliclona vanilla de Laubenfels, 1930"
"Neopetrosia vanilla (de Laubenfels, 1930)"
"Xestospongia vanilla (de Laubenfels, 1930)"
"Dactylia varia (Gray, 1843)"
"Polymastia varia Verrill, 1907"
Cnemidiastrum variabile 
Hydnoceras variabile Hall & Clarke
"Amphimedon variabilis Duchassaing & Michelotti, 1864"
"Amphimedon variabilis Duchassaing & Michelotti, 1864"
"Dysidea variabilis (Duchassaing & Michelotti, 1864)"
"Haliclona variabilis (Dendy, 1887)"
Hircinia variabilis Schmidt
"Ircinia variabilis (Schmidt, 1862)"
"Luffariella variabilis (Polejaeff, 1884)"
"Pachychalina variabilis Dendy, 1887"
"Schmidtia variabilis Ridley, 1884"
"Stelletta variabilis (Wilson, 1902)"
"Stellispongia variabilis (Münster, 1841)"
"Xestospongia variabilis (Ridley, 1884)"
"Anthosigmella varians (Duchassaing & Michelotti, 1864)"
"Cliona varians (Duchassaing & Michelotti, 1864)"
"Eospongia varians Billings, 1861"
"Thalysias varians Duchassaing & Michelotti, 1864"
"Thalysias varians Duchassaing & Michelotti, 1864"
Biemma varianta 
"Biemna varianta (Bowerbank, 1858)"
"Biemna variantia (Bowerbank, 1858)"
"Biemna variantia (Koltun, 1958)"
"Cribrochalina vasculum (Lamarck, 1814)"
"Cliona vastifica Hancock, 1849"
"Pione vastifica (Hancock, 1849)"
"Aphrocallistes vastus Schulze, 1886"
"Fibularia vaughani (Twitchell, 1915)"
"Chalinula velinea (de Laubenfels, 1954)"
"Haliclona velinea (de Laubenfels, 1954)"
"Clathria venosa (Alcolado, 1984)"
"Niphates venosa Duchassaing & Michelotti, 1864"
"Niphates venosa Duchassaing & Michelotti, 1864"
Sporadoscina venosa Roemer
"Phakellia ventilabrum (Linnaeus, 1767)"
"Stromatospongia vermicola Hartman, 1969"
"Spongia vermiculata Duchassaing & Michelotti, 1864"
"Spongia vermiculata Duchassaing & Michelotti, 1864"
"Spongia vermiculata Hyatt, 1877"
"Spongia vermiculata Hyatt, 1877"
Spongia vermiculata 
Spongia vermiculata Hyatt
"Spongia vermiculata Hyatt, 1877"
"Cliona vermifera Hancock, 1867"
"Dendrilla verongiformis de Laubenfels, 1954"
Halichondria verrilli 
"Axinella verrucosa (Esper, 1794)"
Verrucocoelia verrucosa 
Corticium versatile 
"Corticium versatilis Schmidt, 1880"
"Plakina versatilis (Schmidt, 1880)"
"Mortieria vertebralis de Koninck, 1842"
Amblysiphonella vesiculosa 
Spheciospongia vesparia Lamarck
"Spheciospongia vesparium (Lamarck, 1815)"
"Spinosella villosa (Pallas, 1766)"
Astrobolia vimosa 
Lovcenipora vinassai Giattini
"Haliclona violacea (de Laubenfels, 1950)"
"Toxadocia violacea de Laubenfels, 1950"
"Hyrtios violaceus (Duchassaing & Michelotti, 1864)"
"Chondrocladia virgata Wyville Thomson, 1873"
"Cladorhiza virgata (Wyville Thomson, 1873)"
"Clathria virgultosa (Lamarck, 1814)"
Spongia virgultosa Schmidt
"Thalysias virgultosa (Lamarck, 1814)"
"Eurypon viride (Topsent, 1889)"
"Tricheurypon viride (Topsent, 1889)"
"Amphimedon viridis Duchassaing & Michelotti, 1864"
"Amphimedon viridis Duchassaing & Michelotti, 1864"
"Cliona viridis (Schmidt, 1862)"
"Haliclona viridis (Duchassaing & Michelotti, 1864)"
"Clathria vulpina (Lamarck, 1814)"
"Echinoclathria waldoschmitti de Laubenfels, 1954"
"Ecionemia walkeri (de Laubenfels, 1954)"
"Hezekia walkeri de Laubenfels, 1954"
"Pandaros walpersii Duchassaing & Michelotti, 1864"
"Pandaros walpersii Duchassaing & Michelotti, 1864"
"Ptilocaulis walpersii (Duchassaing & Michelotti, 1864)"
"Axinella waltonsmithi (de Laubenfels, 1953)"
"Homaxinella waltonsmithi de Laubenfels, 1953"
Tylodictya warrenensis Hall & Clarke
"Acanthochaetetes wellsi Hartman & Goreau, 1975"
"Acanthochaetetes wellsi Hartman & Goreau, 1975"
"Aphrocallistes whiteavesianus Lambe, 1892"
"Astrosclera willeyana Lister, 1900"
"Pseudaxinella wilsoni Wells, Wells & Gray, 1960"
"Suberites wilsoni Carter, 1885"
Mastosia witzleri 
"Thorectopsamma xana de Laubenfels, 1954"
"Acanthella xutha (de Laubenfels, 1954)"
"Axinosia xutha de Laubenfels, 1954"
"Terpios zeteki (de Laubenfels, 1936)"
Hymedesmia zetlandica 
"Spongia zimocca Schmidt, 1862"
"Spongia zimocca (von Lendenfeld, 1889)"
"Cribrochalina zingiberis (Sollas, 1879)"
"Pharetronema zingiberis Sollas, 1879"
"Leptomitus zitteli Walcott, 1886"
"Plakortis zyggompha (de Laubenfels, 1934)"
"Roosa zyggompha de Laubenfels, 1934"
Plakortis zygompha (de Laubenfels)
