scientificName
"Ecionemia demera (de Laubenfels, 1934)"
"Hezekia demera de Laubenfels, 1934"
"Ridleia dendiia de Laubenfels, 1934"
"Echinodictyum dendroides Hechtel, 1983"
"Lendenfeldia dendyi (von Lendenfeld, 1889)"
Phyllospongia dendyi von Ledendenfeld
"Ridleia dendyi de Laubenfels, 1934"
"Strongylophora dendyi Hechtel, 1969"
Aulocopium diademata 
"Monanchora dianchora de Laubenfels, 1935"
"Neofolitispa dianchora (de Laubenfels, 1935)"
Doryderma dichotoma 
"Eudea dichotoma Gabb, 1861"
Doryderma dichotomum Bennett
Lepidolites dickhanti 
"Ircinia dickinsoni (de Laubenfels, 1936)"
Pattersonia difficilis Miller
"Callyspongia diffusa (Ridley, 1884)"
"Cladochalina diffusa Ridley, 1884"
Gelliodes digitalis (Lamarck)
"Niphates digitalis (Lamarck, 1814)"
"Spongia digitalis Lamarck, 1814"
"Tuba digitalis (Lamarck, 1814)"
Brachiospongia digitata (Owen)
"Reniera digitata Schmidt, 1862"
"Jaspis digonoxea (de Laubenfels, 1950)"
"Zaplethea digonoxea de Laubenfels, 1950"
"Agelas dilatata Duchassaing & Michelotti, 1864"
"Agelas dilatata Duchassaing & Michelotti, 1864"
"Pachastrella dilifera de Laubenfels, 1934"
"Cliona dioryssa (de Laubenfels, 1950)"
"Spirastrella dioryssa de Laubenfels, 1950"
"Tethya diploderma Schmidt, 1870"
Haliclona diproposia de Laubenfels
"Haliclona diprosopia de Laubenfels, 1930"
"Xestospongia diprosopia (de Laubenfels, 1930)"
Spongia discus 
Spongia discus 
"Spongia discus Hyatt, 1877"
"Agelas dispar Duchassaing & Michelotti, 1864"
"Agelas dispar Duchassaing & Michelotti, 1864"
"Topsentia disparilis (Lambe, 1893)"
"Adrianella distefanoi Parona, 1933"
Capromanon distortum Rauff
Suberites distortus Schmidt
"Suberites domuncula (Olivi, 1792)"
"Barroisia dorbignyi (Hinde, 1882)"
"Haliclona doria de Laubenfels, 1936"
"Rhabdocalyptus dowlingi Lambe, 1893"
"Staurocalyptus dowlingi (Lambe, 1893)"
"Adocia dubia Ristau, 1978"
Colospongia dubia 
"Dysidea dubia (Hyatt, 1877)"
"Dysidea dubia (Hyatt, 1877)"
Oligoceras dubia (Hyatt)
Oligoceras dubia (Hyatt)
"Spongelia dubia Hyatt, 1877"
Spongelia dubia 
"Spongelia dubia Hyatt, 1877"
"Xestospongia dubia (Ristau, 1978)"
"Halisarca dujardini Johnston, 1842"
Stylopegma dulce King
Peronidella dumosa 
"Girtycoelia dunbari King, 1943"
Girtyocoelia dunbari King
Petrosia dura (Wilson)
"Spongia dura Hyatt, 1877"
Spongia dura Hyatt
"Pseudoceratina durissima Carter, 1885"
"Sigmaxinella durissima (Dendy, 1905)"
"Sigmaxinella durissima Dendy, 1922"
"Polyfibrospongia dysodes de Laubenfels, 1954"
"Smenospongia dysodes (de Laubenfels, 1954)"
Eumastia E1 
"Chalinula ecbasis (de Laubenfels, 1930)"
"Haliclona ecbasis de Laubenfels, 1930"
Acloeodictya eccentrica 
"Polyfibrospongia echina de Laubenfels, 1934"
"Smenospongia echina (de Laubenfels, 1934)"
"Dorvillia echinata Verrill, 1874"
"Terpios echinata Duchassaing & Michelotti, 1864"
"Terpios echinata Duchassaing & Michelotti, 1864"
"Thenea echinata (Verrill, 1874)"
"Laxosuberites ectyoninus Topsent, 1900"
Laxsuberites ectyoninus 
"Protosuberites ectyoninus (Topsent, 1900)"
"Sigmadocia edapha (de Laubenfels, 1930)"
"Xestospongia edapha (de Laubenfels, 1930)"
"Gellius edaphus de Laubenfels, 1930"
"Amphimedon elastica (Verrill, 1907)"
"Pachychalina elastica Verrill, 1907"
"Leucosolenia eleanor Urban, 1906"
"Dactylospongia elegans (Thiele, 1899)"
"Luffariella elegans Thiele, 1899"
"Receptaculites elegantulus Billings, 1865"
Halichondrites elissa Walcott
"Melonanchora elliptica Carter, 1874"
Scyphia empleura 
"Characella enae (de Laubenfels, 1934)"
"Neothenea enae de Laubenfels, 1934"
"Haliclona enamela de Laubenfels, 1930"
"Prosuberites epiphytum (Lamarck, 1815)"
"Protosuberites epiphytum (Lamarck, 1815)"
"Spongia equina Schmidt, 1862"
"Spongia equina Hyatt, 1877"
"Spongia equina Hyatt, 1877"
"Spongia equina Hyatt, 1877"
"Spongia equina (Duchassaing & Michelotti, 1864)"
"Heteronema erecta Keller, 1889"
"Niphates erecta Duchassaing & Michelotti, 1864"
"Niphates erecta Duchassaing & Michelotti, 1864"
"Hyrtios erectus (Keller, 1889)"
"Amphimedon erina (de Laubenfels, 1936)"
"Haliclona erina de Laubenfels, 1936"
"Acarnus erithacus de Laubenfels, 1927"
Chancelloria eros Walcott
"Callyspongia eschrichtii Duchassaing & Michelotti, 1864"
"Callyspongia eschrichtii Duchassaing & Michelotti, 1864"
"Dysidea etheria de Laubenfels, 1936"
"Heteronema eubamma de Laubenfels, 1954"
"Clathria eurypa (de Laubenfels, 1954)"
"Dictyociona eurypa de Laubenfels, 1954"
"Microciona eurypa (de Laubenfels, 1954)"
Hydnoceras eutheles 
Astylospongia excavata 
"Neopetrosia exigua (Kirkpartrick, 1900)"
"Xestospongia exigua (Kirkpartrick, 1900)"
Ectenodictya expansa Hall
Seliscothon explanatum Goldfuss
Halichondria F1 
Halichondria F2 
Halichondria F3 
Chirospongia faberi 
Farrea facunda 
"Callyspongia fallax Duchassaing & Michelotti, 1864"
"Callyspongia fallax Duchassaing & Michelotti, 1864"
Halichondria farricea 
Halichondria farricea 
Rhaphidonema farringdonense (Jencks)
Pharetrospongia farringtonensis 
Raphidonema farringtonensis 
"Clathria fasciculata Wilson, 1925"
"Hircinia fasciculata (Pallas, 1766)"
"Ircinia fasciculata (Pallas, 1766)"
"Sarcotragus fasciculatus (Pallas, 1766)"
"Haliclona fascigera (Hentschel, 1912)"
"Siphonochalina fascigera Hentschel, 1912"
"Ircinia felix (Duchassaing & Michelotti, 1864)"
"Polytherses felix Duchassaing & Michelotti, 1864"
"Polytherses felix Duchassaing & Michelotti, 1864"
"Aplysina fenestrata (Duchassaing & Michelotti, 1864)"
Clathrospongia fenestrata 
"Spongia fenestrata Duchassaing & Michelotti, 1864"
"Spongia fenestrata Duchassaing & Michelotti, 1864"
Thenea fenestrata 
"Amphimedon ferox Duchassaing & Michelotti, 1864"
"Amphimedon ferox Duchassaing & Michelotti, 1864"
"Ectyoplasia ferox (Duchassaing & Michelotti, 1864)"
"Hemectyon ferox (Duchassaing & Michelotti, 1864)"
"Esperella fibrexilis Wilson, 1894"
"Mycale fibrexilis (Wilson, 1894)"
"Callyspongia fibrosa (Ridley & Dendy, 1886)"
"Dasychalina fibrosa Ridley & Dendy, 1886"
"Dasychalina fibrosa Ridley & Dendy, 1886"
Hindia fibrosa (Roemer)
"Pachychalina fibrosa (Ridley & Dendy, 1886)"
"Pilochrota fibrosa (Schmidt, 1870)"
"Pilochrota fibrosa Wilson, 1902"
"Rhabdastrella fibrosa Hechtel, 1983"
"Topsentia fibrosa (Fristedt, 1887)"
"Petrosia ficiformis (Poiret, 1789)"
