scientificName
Euconnus wunderlichi Franz 1983
Neuraphes
Homoconnus conservatus Franz 1983
Rebuffoichnus sciuttoi
Monesichnus ameghinoi
Coprinsiphaera isp.
Leehermania prorova
"Trixagus parvulus Muona, 2019"
"Epiphanis burmensis Muona, 2020b"
"Protomicrorhagus brevis Muona, 2020b"
"Tyrannothroscus rex Muona, 2019"
"Protovitellius deceptus Muona, 2020b"
"Euryptychus acutangulus Muona, 2020b"
"Pactopus burmensis Muona, 2019"
"Myall burmensis Muona, 2020b"
"Coenomana brevicornis Muona, 2020b"
"Jenibuntor pusillus Muona, 2020b"
"Falsothambus burmensis Muona, 2020b"
Menephiloides minensis
Ademosynoides japonica
"Paleoendeitoma tuberculata Bullis, 2020"
"Cretonthophilus tuberculatus Caterino, Wolf-Schwenninger & Be"
"Nacaeus dominicanensis Irmler, 2003"
"Stizocera evanescens Vitali, 2010"
"Cyphon wichardi Heuss, 2008"
"Mitosoma rhinoceroide Schawaller, 1981"
"Nacaeus dominicanensis Irmler, 2003"
"Quasipirhidius luzziae Batelka, im Druck"
"Quasipirhidius luzziae Batelka, im Druck"
"Lispinomimus atavus Irmler, 2003"
"Mitosoma rhinoceroide Schawaller, 1981"
"Neorrhipidius seicherti Batelka, im Druck"
"Electrotribus erectosquamata Rheinheimer, 2007"
"Thoracophorus palaeobrevicristatus Irmler, 2003"
"Quasipirhidius luzziae Batelka, im Druck"
"Olemehlia krali Batelka, im Druck"
"Mitosoma rhinoceroide Schawaller, 1981"
"Thoracophorus palaeobrevicristatus Irmler, 2003"
"Quasipirhidius luzziae Batelka, im Druck"
"Hesiodobates antiquus Kaszab & Schawaller, 1984"
"Mitosoma rhinoceroide Schawaller, 1981"
"Nemadus microtomographicus Perreau & Tafforeau, 2010"
"Micromalthus anansi Perkovsky, 2007"
"Electrogymnusa baltica Wolf-Schwenninger, 2004"
"Protoceletes wolfschwenningerae Rheinheimer, 2007"
"Quasipirhidius luzziae Batelka, im Druck"
"Neorrhipidius seicherti Batelka, im Druck"
"Nemadus microtomographicus Perreau & Tafforeau, 2010"
"Nacaeus dominicanensis Irmler, 2003"
"Platylaemus mokattamensis Weiler, 1929"
"Platylaemus mokattamensis Weiler, 1929"
"Platylaemus mokattamensis Weiler, 1929"
"Platylaemus mokattamensis Weiler, 1929"
"Platylaemus mokattamensis Weiler, 1929"
"Platylaemus mokattamensis Weiler, 1929"
"Platylaemus mokattamensis Weiler, 1929"
"Platylaemus mokattamensis Weiler, 1929"
"Platylaemus mokattamensis Weiler, 1929"
"Platylaemus mokattamensis Weiler, 1929"
"Platylaemus mokattamensis Weiler, 1929"
"Rhyncolus kathrynae Sleeper, 1968"
"Rhyssomatus miocenae Pierce, 1965"
"Jantarhinus compressus LEGALOV, KIREJTSCHUK & NEL, 2019"
"Sciabregma squamosa LEGALOV, KIREJTSCHUK & NEL, 2019"
"Tolstonosik oisensis LEGALOV, KIREJTSCHUK & NEL, 2019"
"Rhinoporkus gratiosus LEGALOV, KIREJTSCHUK & NEL, 2019"
"Oiserhinus insolitus LEGALOV, KIREJTSCHUK & NEL, 2019"
"Oisecalles latosquamosus LEGALOV, KIREJTSCHUK & NEL, 2019"
"Jantaronosik nebulosus LEGALOV, KIREJTSCHUK & NEL, 2019"
"Micropeplus hoogendorni Matthews, 1970"
"Chalcophora españoli Villalta, 1962"
"Chalcophora españoli Villalta, 1962"
"Ancylopus ortoni Carman, 1927"
"Sceloenopla stainesorum Santiago-Blay & Craig, 1996"
"Clidiscus cretaceus KIREJTSHUK, BURBATOV & NEL, 2015"
"Eoplatypus jordali Peris, Solórzano Kraemer & Cognato in Peris & al. 2017"
"Eoplatypus jordali Peris, Solórzano Kraemer & Cognato in Peris & al. 2017"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Donacia (Donacia) draycoti Pierce, 1950"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Elaphrus clairvillei Kirby, 1837"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Canthon (Boreocanthon) simplex LeConte, 1857"
"Coniontis abdominalis LeConte, 1859"
"Donacia (Donacia) draycoti Pierce, 1950"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Donacia (Donacia) lynni Pierce, 1950"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Donacia (Donacia) draycoti Pierce, 1950"
"Donacia (Donacia) lynni Pierce, 1950"
"Donacia (Donacia) draycoti Pierce, 1950"
"Coniontis abdominalis LeConte, 1859"
"Donacia (Donacia) draycoti Pierce, 1950"
"Donacia (Donacia) draycoti Pierce, 1950"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Copris pristinus Pierce, 1946"
"Copris pristinus Pierce, 1946"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Copris pristinus Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Copris pristinus Pierce, 1946"
"Copris pristinus Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Donacia (Donacia) draycoti Pierce, 1950"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Donacia (Donacia) draycoti Pierce, 1950"
"Nicrophorus guttula (Motschoulsky, 1845)"
"Nicrophorus marginatus Fabricius, 1801"
"Donacia (Donacia) draycoti Pierce, 1950"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Copris pristinus Pierce, 1946"
