scientificName
Prunus verecunda (Koidz.) Koehne
Micromeles alnifolia (Siebold & Zucc.) Koehne
Sorbus lancifolia Hedl. ex Dahl
Sorbus lesquereuxii Nath.
Micromeles japonica (Sieb.) Koehne
Cydonia vulgaris Delarbre
Cotoneaster salicifolius Franch.
Crataegus oxyacantha Thuill.
Crataegus monogyna Jacq.
Prunus maximowiczii Rupr.
Spiraea venusta Dippel
Potentilla anserina L.
Prunus padus L.
Prunus silvestris Popov
Sorbus aria (L.) Crantz
Sorbus matsumurana (Makino) Koehne
Sorbus rufopilosa C.K.Schneid.
Sorbus hupehensis C.K.Schneid.
Rosa ×alba L.
Rosa soulieana Crép.
Rosa ×borboniana N.H.F.Desp.
Rosa ×noisettiana Thory
Rosa moyesii Hemsl. & E.H.Wilson
Rosa foetida Herrm.
Rosa moschata Mill.
Rosa abyssinica R.Br.
Prunus davidiana (Carrière) Franch.
Purshia plicata (D.Don) Henrickson
Porteranthus stipulatus (Muhl. ex Willd.) Britton
Potentilla matsumurae Th.Wolf
"Neviusia cliftonii Shevock, Ertter & D.W.Taylor"
Oemleria cerasiformis (Torr. & A.Gray) J.W.Landon
Laurocerasus zippeliana (Miq.) Browicz
Ivesia lycopodioides Gray
Ivesia muirii A.Gray
Horkelia marinensis (Elmer) Crum
Gillenia trifoliata (L.) Moench
Fallugia paradoxa (D.Don) Endl.
Drymocallis arguta (Pursh) Rydb.
Chamaebatia foliolosa Benth.
Bencomia sphaerocarpa Svent.
Aruncus sylvester Kostel. ex Maxim.
Amelanchier sanguinea (Pursh) DC.
Amelanchier ovalis Medik.
Amelanchier asiatica (Siebold & Zucc.) Endl. ex Walp.
Alchemilla pectinata Kunth
Agrimonia striata Michx.
Maddenia taschei Kirchh.
Prunus acuminata Clav.
Prunus grandifolia Salisb.
Crataegus incisa hort.
Adenostoma sparsifolium Torr.
Adenostoma fasciculatum Hook. & Arn.
Malus pulcherrima (Siebold) Makino
Sorbus praetorminalis Krysht. & Baikov
Prunus fruticosa Pall.
Malus sylvestris Mill.
Prunus avium (L.) L.
Prunus crassa (R.Ludw.) Schimp.
Crataegus laevigata (Poir.) DC.
Prunus insititia Desv.
Sorbus torminalis (L.) Crantz
Cerasus avium (L.) Moench
Crataegus newberryi Cockerell
Cercocarpus antiquus Lesq.
Pyrus oregonensis R.N.Lakh.
Prunus pruna Boreau
Rubus rufus Focke
Crataegus gracilis Sarg.
Spiraea ×spicata Dippel
Amelanchier amelanchier (L.fil.) Voss
Potentilla salwinensis (Soják) Soják
Cercocarpus orestesi Knowlt.
Amelanchier grayi R.W.Chaney
Rubus freynii Hayek
Sorbus diversifolia (Lesq.) Cockerell
Aruncus sylvester Kostel.
Crataegus prinoides Sarg.
Cotoneaster goeppertii Menzel
Sorbus alnoides Gand.
Spiraea crataegifolia Zabel
Potentilla fruticosa Hook.f.
Cerasus crassa R.Ludw.
Amygdalus insignis P.Wessel & C.O.Weber
Amygdalus gracilis Lesq.
Pyrus communis L.
Prunus demissa (Nutt. ex Torr. & A.Gray) Walp.
Prunus persica (L.) Stokes
Malus ioensis (Alph.Wood) Britton
Malus pumila Kitam.
"Crataegus laurenciana Lesquereux, 1891"
Crataegus aceroides Lesq.
"Prunus coloradensis Knowlton, 1918"
"Crataegus tranquillensis Penhallow, 1908"
Prunus pensylvanica L.fil.
Sibbaldia tridentata (Aiton) Paule & Soják
